"","cell","status","gating","cluster"
"1","M21","blood","G2",1
"2","A8","naive","G1",1
"3","E3","naive","G3",1
"4","I20","naive","G4",1
"5","B9","naive","G1",1
"6","B17","naive","G1",1
"7","B12","naive","G1",1
"8","B19","naive","G1",1
"9","B22","naive","G1",1
"10","C20","naive","G2",1
"11","E1","naive","G3",1
"12","H8","naive","G4",1
"13","H24","naive","G4",1
"14","L11","blood","G1",2
"15","M1","blood","G2",2
"16","M13","blood","G2",2
"17","M17","blood","G2",2
"18","M18","blood","G2",2
"19","N19","blood","G2",2
"20","N21","blood","G2",2
"21","O6","blood","G3",2
"22","P15","blood","G3",2
"23","P20","blood","G3",2
"24","D9","naive","G2",2
"25","F11","naive","G3",2
"26","G18","naive","G3",2
"27","F21","naive","G3",2
"28","F22","naive","G3",2
"29","G22","naive","G3",2
"30","I7","naive","G4",2
"31","H9","naive","G4",2
"32","H14","naive","G4",2
"33","I14","naive","G4",2
"34","I24","naive","G4",2
"35","G21","naive","G3",3
"36","D8","naive","G2",3
"37","C15","naive","G2",3
"38","C23","naive","G2",3
"39","G2","naive","G3",3
"40","F3","naive","G3",3
"41","F5","naive","G3",3
"42","F6","naive","G3",3
"43","E7","naive","G3",3
"44","G8","naive","G3",3
"45","G9","naive","G3",3
"46","G10","naive","G3",3
"47","G13","naive","G3",3
"48","G14","naive","G3",3
"49","E15","naive","G3",3
"50","E16","naive","G3",3
"51","E18","naive","G3",3
"52","F19","naive","G3",3
"53","F20","naive","G3",3
"54","F23","naive","G3",3
"55","G24","naive","G3",3
"56","I10","naive","G4",3
"57","H11","naive","G4",3
"58","J13","naive","G4",3
"59","J17","naive","G4",3
"60","I18","naive","G4",3
"61","H22","naive","G4",3
"62","H23","naive","G4",3
"63","O4","blood","G3",4
"64","O8","blood","G3",4
"65","P10","blood","G3",4
"66","P11","blood","G3",4
"67","P13","blood","G3",4
"68","O21","blood","G3",4
"69","I8","naive","G4",4
"70","E4","naive","G3",4
"71","G5","naive","G3",4
"72","E10","naive","G3",4
"73","D23","naive","G2",4
"74","D5","naive","G2",4
"75","C10","naive","G2",4
"76","D13","naive","G2",4
"77","D16","naive","G2",4
"78","D21","naive","G2",4
"79","F1","naive","G3",4
"80","G3","naive","G3",4
"81","F4","naive","G3",4
"82","E5","naive","G3",4
"83","G6","naive","G3",4
"84","G7","naive","G3",4
"85","E9","naive","G3",4
"86","F10","naive","G3",4
"87","E11","naive","G3",4
"88","G11","naive","G3",4
"89","E13","naive","G3",4
"90","F13","naive","G3",4
"91","F15","naive","G3",4
"92","G16","naive","G3",4
"93","E17","naive","G3",4
"94","F17","naive","G3",4
"95","F18","naive","G3",4
"96","E22","naive","G3",4
"97","E23","naive","G3",4
"98","G23","naive","G3",4
"99","F24","naive","G3",4
"100","H1","naive","G4",4
"101","J1","naive","G4",4
"102","I4","naive","G4",4
"103","I6","naive","G4",4
"104","J6","naive","G4",4
"105","J7","naive","G4",4
"106","J9","naive","G4",4
"107","I16","naive","G4",4
"108","H18","naive","G4",4
"109","J23","naive","G4",4
"110","N11","blood","G2",5
"111","L8","blood","G1",5
"112","L16","blood","G1",5
"113","K20","blood","G1",5
"114","M6","blood","G2",5
"115","N13","blood","G2",5
"116","N14","blood","G2",5
"117","N20","blood","G2",5
"118","N23","blood","G2",5
"119","P18","blood","G3",5
"120","P19","blood","G3",5
"121","O22","blood","G3",5
"122","P22","blood","G3",5
"123","O23","blood","G3",5
"124","I2","naive","G4",5
"125","F14","naive","G3",5
"126","A24","naive","G1",5
"127","C3","naive","G2",5
"128","C4","naive","G2",5
"129","D4","naive","G2",5
"130","C5","naive","G2",5
"131","C7","naive","G2",5
"132","C13","naive","G2",5
"133","C19","naive","G2",5
"134","C24","naive","G2",5
"135","E6","naive","G3",5
"136","H4","naive","G4",5
"137","H6","naive","G4",5
"138","H10","naive","G4",5
"139","H12","naive","G4",5
"140","I12","naive","G4",5
"141","J15","naive","G4",5
"142","H16","naive","G4",5
"143","J16","naive","G4",5
"144","H20","naive","G4",5
"145","J20","naive","G4",5
"146","I22","naive","G4",5
"147","J24","naive","G4",5
"148","P14","blood","G3",6
"149","N3","blood","G2",6
"150","N4","blood","G2",6
"151","N5","blood","G2",6
"152","M8","blood","G2",6
"153","M11","blood","G2",6
"154","N15","blood","G2",6
"155","M16","blood","G2",6
"156","M22","blood","G2",6
"157","M23","blood","G2",6
"158","M24","blood","G2",6
"159","N24","blood","G2",6
"160","P12","blood","G3",6
"161","O14","blood","G3",6
"162","O17","blood","G3",6
"163","P17","blood","G3",6
"164","C1","naive","G2",6
"165","C8","naive","G2",6
"166","C9","naive","G2",6
"167","C11","naive","G2",6
"168","D14","naive","G2",6
"169","D15","naive","G2",6
"170","C16","naive","G2",6
"171","E2","naive","G3",6
"172","G12","naive","G3",6
"173","E14","naive","G3",6
"174","F16","naive","G3",6
"175","G17","naive","G3",6
"176","G19","naive","G3",6
"177","G20","naive","G3",6
"178","E24","naive","G3",6
"179","H2","naive","G4",6
"180","I3","naive","G4",6
"181","I9","naive","G4",6
"182","I11","naive","G4",6
"183","J11","naive","G4",6
"184","I13","naive","G4",6
"185","H15","naive","G4",6
"186","I15","naive","G4",6
"187","H19","naive","G4",6
"188","I19","naive","G4",6
"189","J21","naive","G4",6
"190","J22","naive","G4",6
"191","L21","blood","G1",7
"192","L17","blood","G1",7
"193","K16","blood","G1",7
"194","K19","blood","G1",7
"195","K14","blood","G1",7
"196","L20","blood","G1",7
"197","L24","blood","G1",7
"198","N2","blood","G2",7
"199","M5","blood","G2",7
"200","N7","blood","G2",7
"201","M20","blood","G2",7
"202","H17","naive","G4",7
"203","B1","naive","G1",7
"204","D24","naive","G2",7
"205","A6","naive","G1",7
"206","A15","naive","G1",7
"207","C6","naive","G2",7
"208","B14","naive","G1",7
"209","C21","naive","G2",7
"210","B6","naive","G1",7
"211","B8","naive","G1",7
"212","B16","naive","G1",7
"213","B18","naive","G1",7
"214","A22","naive","G1",7
"215","A23","naive","G1",7
"216","D1","naive","G2",7
"217","C2","naive","G2",7
"218","D2","naive","G2",7
"219","D17","naive","G2",7
"220","C18","naive","G2",7
"221","D20","naive","G2",7
"222","D22","naive","G2",7
"223","J10","naive","G4",7
"224","H13","naive","G4",7
"225","J18","naive","G4",7
"226","J19","naive","G4",7
"227","I21","naive","G4",7
"228","I23","naive","G4",7
"229","K23","blood","G1",8
"230","L14","blood","G1",8
"231","K15","blood","G1",8
"232","L13","blood","G1",8
"233","L19","blood","G1",8
"234","L5","blood","G1",8
"235","H5","naive","G4",8
"236","A9","naive","G1",8
"237","A18","naive","G1",8
"238","B21","naive","G1",8
"239","A17","naive","G1",8
"240","B23","naive","G1",8
"241","B20","naive","G1",8
"242","B3","naive","G1",8
"243","A20","naive","G1",8
"244","B10","naive","G1",8
"245","B2","naive","G1",8
"246","A14","naive","G1",8
"247","B15","naive","G1",8
"248","B7","naive","G1",8
"249","B4","naive","G1",8
"250","B5","naive","G1",8
"251","B13","naive","G1",8
"252","B24","naive","G1",8
